Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
1189,30-34,Saskatchewan,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$25000-$34999,Korean,Chicken_Chicken Past 30 1-2
1190,35-39,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Other,$75000-$99999,White,Chicken_Chicken past 30 3-4
1191,70+,British Columbia,Male,English,Indian-Punjabi,High School Graduation Certificate,Full-Time,Unskilled,$125000-$149999,White,Burgers_Burger Past 30 1-2
1192,20-21,Quebec,Male,English,English,High School Graduation Certificate,Full-Time,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1193,65-69,Ontario,Male,English,French,Trade Certificate/Diploma,Part-Time,Professionals,$200000 Or Over,White,Popeye (Less) 1-2
1194,55-59,Alberta,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$35000-$39999,Arab,Chicken_Chicken Past 30 1-2
1195,70+,Ontario,Female,French,French,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,Aboriginal,Burgers_Burger Past 30 1-2
1196,70+,Saskatchewan,Male,English,English,Bachelors Degrees,Not Employed,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
1197,15-17,Alberta,Male,English,English,Elementary School Graduation Cert,Not Employed,Skilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
1198,55-59,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Other,$25000-$34999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1199,30-34,Ontario,Male,English,Tagalog,Trade Certificate/Diploma,Part-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
1200,55-59,Alberta,Female,Other,English,Other Certificate/Diploma Not Univ,Full-Time,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1201,30-34,Quebec,Female,English,Indian-Punjabi,Other Certificate/Diploma Not Univ,Part-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
1202,65-69,Quebec,Female,English,Indian-Punjabi,Bachelors Degrees,Not Employed,Other,$125000-$149999,Arab,Chicken_Chicken Past 30 1-2
1203,40-44,Ontario,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
1204,19 Years,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other Managers,Under $25000,White,Chicken_Chicken Past 30 1-2
1205,40-44,Quebec,Male,English,English,Trade Certificate/Diploma,Full-Time,Skilled,$50000-$59999,Chinese,Chicken_Chicken Past 30 1-2
1206,50-54,Alberta,Female,English,English,High School Graduation Certificate,Not Employed,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
1207,45-49,British Columbia,Female,Indian-Punjabi,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$100000-$124999,White,Burgers_Burger Past 30 1-2
1208,65-69,Ontario,Male,English,English,None,Not Employed,Unskilled,$60000-$74999,White,Chicken_Chicken past 30 3-4
1209,40-44,Saskatchewan,Female,French,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 5+
1210,20-21,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
1211,40-44,Ontario,Female,English,French,Trade Certificate/Diploma,Full-Time,Unskilled,$200000 Or Over,South Asian (East Indian Pakistani),Popeyes 1-2
1212,30-34,Alberta,Male,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$100000-$124999,Other,Chicken_Chicken Past 30 1-2
1213,60-64,Quebec,Male,French,English,Masters Degrees,Full-Time,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,Chinese,Burgers_Burger Past 30 1-2
1214,15-17,Quebec,Female,Chinese-Cantonese,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Burgers_Burger Past 30 1-2
1215,45-49,Ontario,Female,French,Spanish,Univ Cert/Dipl Below Bachelor Level,Full-Time,Senior Managers/Owners,$75000-$99999,White,Burgers_Burger past 30 3-4
1216,45-49,British Columbia,Female,English,English,High School Graduation Certificate,Not Employed,Other,$35000-$39999,White,Burgers_Burger Past 30 1-2
1217,22-24,Quebec,Female,Other,English,High School Graduation Certificate,Full-Time,Skilled,$150000-$199999,White,Chicken_Chicken Past 30 1-2
1218,55-59,Manitoba,Male,Arabic,Other,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$60000-$74999,White,Chicken_Chicken Past 30 1-2
1219,55-59,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Other,$50000-$59999,Other,Popeye (Less) 1-2
1220,45-49,Quebec,Male,English,English,Bachelors Degrees,Full-Time,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1221,45-49,Quebec,Male,French,Indian-Hindi,Trade Certificate/Diploma,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 5+
1222,50-54,British Columbia,Male,French,English,Elementary School Graduation Cert,Full-Time,Other,$35000-$39999,White,Chicken_Chicken Past 30 1-2
1223,22-24,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Unskilled,$25000-$34999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
1224,55-59,Quebec,Male,English,French,Elementary School Graduation Cert,Part-Time,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
1225,60-64,Ontario,Male,Other,French,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Not Stated,Chicken_Chicken Past 30 5+
1226,19 Years,British Columbia,Male,French,French,Trade Certificate/Diploma,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1227,55-59,British Columbia,Male,English,English,Masters Degrees,Not Employed,Clerical/Secretarial,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1228,35-39,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$150000-$199999,Japanese,Chicken_Chicken Past 30 1-2
1229,70+,Ontario,Male,Spanish,Chinese-Cantonese,None,Part-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
1230,40-44,Alberta,Male,Other,French,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,Under $25000,White,Burgers_Burger Past 30 1-2
1231,55-59,Ontario,Female,Other,English,None,Full-Time,Other,$75000-$99999,Other,Burgers_Burger Past 30 1-2
1232,22-24,Alberta,Male,Other,English,Bachelors Degrees,Part-Time,Technical/Sales/Teaching/Other White Collar,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1233,70+,Ontario,Male,English,French,Trade Certificate/Diploma,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1234,20-21,Manitoba,Female,English,English,Elementary School Graduation Cert,Not Employed,Professionals,$50000-$59999,White,Burgers_Burger past 30 3-4
1235,50-54,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,Arab,Chicken_Chicken Past 30 1-2
1236,45-49,British Columbia,Male,English,French,High School Graduation Certificate,Full-Time,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
1237,65-69,Quebec,Female,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$40000-$49999,White,Burgers_Burger Past 30 1-2
1238,35-39,Quebec,Female,English,French,Bachelors Degrees,Full-Time,Unskilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
1239,14 Years,Quebec,Female,English,English,Trade Certificate/Diploma,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
1240,60-64,Quebec,Male,English,Vietnamese,Elementary School Graduation Cert,Not Employed,Other Managers,$60000-$74999,Other,Burgers_Burger past 30 3-4
1241,70+,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,$125000-$149999,White,Burgers_Burger past 30 3-4
1242,25-29,Ontario,Female,French,English,Bachelors Degrees,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 1-2
1243,45-49,Saskatchewan,Female,English,French,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$50000-$59999,White,Burgers_Burger Past 30 1-2
1244,20-21,British Columbia,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
1245,19 Years,Ontario,Male,Greek,English,Elementary School Graduation Cert,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
1246,14 Years,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1247,70+,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other,$25000-$34999,Korean,Chicken_Chicken past 30 3-4
1248,35-39,Ontario,Male,English,French,Masters Degrees,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1249,45-49,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,Not Stated,Chicken_Chicken Past 30 1-2
1250,40-44,Ontario,Female,French,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
1251,40-44,Alberta,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,$40000-$49999,White,Chicken_Chicken past 30 3-4
1252,40-44,Alberta,Female,Ukrainian,English,Trade Certificate/Diploma,Not Employed,Clerical/Secretarial,$125000-$149999,White,Chicken_Chicken Past 30 1-2
1253,70+,Quebec,Female,English,Other,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$200000 Or Over,Aboriginal,Burgers_Burger Past 30 5+
1254,60-64,British Columbia,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Unskilled,$50000-$59999,White,Chicken_Chicken past 30 3-4
1255,55-59,Quebec,Male,English,English,Trade Certificate/Diploma,Not Employed,Primary,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1256,30-34,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Professionals,$150000-$199999,White,Chicken_Chicken Past 30 1-2
1257,70+,Ontario,Male,English,English,Masters Degrees,Full-Time,Skilled,$60000-$74999,Not Stated,Chicken_Chicken Past 30 1-2
1258,45-49,Newfoundland and Labrador,Male,English,French,Elementary School Graduation Cert,Full-Time,Other,Under $25000,Not Stated,Burgers_Burger Past 30 5+
1259,30-34,Ontario,Male,English,Spanish,High School Graduation Certificate,Not Employed,Professionals,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
1260,22-24,Ontario,Female,German,English,High School Graduation Certificate,Not Employed,Other Managers,Under $25000,Aboriginal,Burgers_Burger past 30 3-4
1261,19 Years,Quebec,Male,English,Other,High School Graduation Certificate,Full-Time,Other Managers,$40000-$49999,Black,Burgers_Burger Past 30 1-2
1262,55-59,British Columbia,Male,English,English,High School Graduation Certificate,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
1263,45-49,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$125000-$149999,White,Burgers_Burger past 30 3-4
1264,65-69,Manitoba,Female,English,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger Past 30 1-2
1265,70+,Ontario,Female,Spanish,English,Bachelors Degrees,Not Employed,Other,$100000-$124999,Not Stated,Chicken_Chicken Past 30 1-2
1266,65-69,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Skilled,$25000-$34999,White,Popeyes 1-2
1267,18 Years,Quebec,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Skilled,$50000-$59999,Not Stated,Burgers_Burger Past 30 1-2
1268,25-29,Quebec,Female,English,French,Elementary School Graduation Cert,Full-Time,Other,Under $25000,White,Chicken_Chicken past 30 3-4
1269,60-64,Alberta,Male,Spanish,English,Trade Certificate/Diploma,Full-Time,Other Managers,Under $25000,Chinese,Burgers_Burger Past 30 5+
1270,30-34,Saskatchewan,Female,English,French,Masters Degrees,Full-Time,Unskilled,$40000-$49999,Chinese,Chicken_Chicken Past 30 1-2
1271,35-39,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
1272,55-59,Ontario,Female,Arabic,English,Elementary School Graduation Cert,Part-Time,Unskilled,$35000-$39999,White,Burgers_Burger Past 30 5+
1273,40-44,New Brunswick,Male,English,English,High School Graduation Certificate,Not Employed,Primary,Under $25000,Aboriginal,Burgers_Burger Past 30 5+
1274,65-69,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Professionals,$40000-$49999,White,Burgers_Burger Past 30 1-2
1275,40-44,Ontario,Female,English,English,Masters Degrees,Full-Time,Other Managers,$40000-$49999,White,Chicken_Chicken past 30 3-4
1276,30-34,Saskatchewan,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Chicken_Chicken Past 30 1-2
1277,70+,Quebec,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
1278,40-44,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$50000-$59999,Not Stated,Burgers_Burger Past 30 1-2
1279,60-64,Quebec,Female,English,French,High School Graduation Certificate,Not Employed,Unskilled,$60000-$74999,White,Chicken_Chicken Past 30 1-2
1280,45-49,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
1281,50-54,Ontario,Male,Spanish,Other,High School Graduation Certificate,Not Employed,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
1282,50-54,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
1283,40-44,Alberta,Male,English,Other,Elementary School Graduation Cert,Part-Time,Professionals,$40000-$49999,White,Burgers_Burger Past 30 1-2
1284,25-29,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Unskilled,$40000-$49999,White,Burgers_Burger Past 30 1-2
1285,55-59,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
1286,22-24,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$60000-$74999,White,Chicken_Chicken Past 30 1-2
1287,35-39,Saskatchewan,Female,English,English,Bachelors Degrees,Not Employed,Other,$100000-$124999,Filipino,Burgers_Burger Past 30 5+
1288,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Part-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
1289,55-59,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Other,$200000 Or Over,White,Popeye (Less) 1-2
1290,60-64,Ontario,Male,English,English,Trade Certificate/Diploma,Part-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
1291,55-59,Alberta,Female,Tagalog,French,High School Graduation Certificate,Full-Time,Skilled,$60000-$74999,White,Burgers_Burger past 30 3-4
1292,30-34,Manitoba,Male,French,French,High School Graduation Certificate,Part-Time,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
1293,45-49,Ontario,Male,English,French,Elementary School Graduation Cert,Full-Time,Unskilled,$125000-$149999,White,Burgers_Burger Past 30 1-2
1294,30-34,Ontario,Female,Other,French,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
1295,70+,Ontario,Female,French,English,Elementary School Graduation Cert,Part-Time,Other,$150000-$199999,White,Chicken_Chicken past 30 3-4
1296,40-44,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Senior Managers/Owners,$75000-$99999,White,Chicken_Chicken past 30 3-4
1297,45-49,Ontario,Male,Chinese-Cantonese,English,Bachelors Degrees,Full-Time,Other Managers,$50000-$59999,Aboriginal,Burgers_Burger Past 30 1-2
1298,70+,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
1299,40-44,Alberta,Male,English,French,Masters Degrees,Full-Time,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
1300,35-39,Ontario,Female,English,English,Trade Certificate/Diploma,Part-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
1301,35-39,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,$35000-$39999,White,Burgers_Burger Past 30 5+
1302,30-34,Alberta,Male,French,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,Filipino,Burgers_Burger Past 30 1-2
1303,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$40000-$49999,White,Chicken_Chicken Past 30 1-2
1304,35-39,Quebec,Female,Other,French,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
1305,30-34,Ontario,Female,French,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Professionals,$60000-$74999,White,Burgers_Burger Past 30 1-2
1306,45-49,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Other,$60000-$74999,Not Stated,Burgers_Burger Past 30 1-2
1307,40-44,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Unskilled,$50000-$59999,White,Popeyes 3-4
