,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
4592,18 Years,Quebec,Female,English,French,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$60,000-$74,999","Under $25,000",Filipino
4593,25-29,Quebec,Female,English,Other,Couple With Children Living at Home,"""Masters Degrees""",Other,"$60,000-$74,999","$75,000-$99,999",White
4594,55-59,Ontario,Female,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$100,000-$124,999",White
4595,70+,Ontario,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Professionals,"$50,000-$59,999","Under $25,000",White
4596,60-64,Alberta,Male,French,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Clerical/Secretarial,"$25,000-$34,999","$25,000-$34,999",White
4597,15-17,Ontario,Male,Chinese-Cantonese,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$25,000-$34,999","$75,000-$99,999",Latin/Central and South American
4598,70+,Alberta,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$50,000-$59,999",Filipino
4599,45-49,Alberta,Female,English,English,Adult Living Alone,Trade Certificate/Diploma,Other,"$75,000-$99,999","$25,000-$34,999",White
4600,35-39,Nova Scotia,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Professionals,"$200,000 Or Over","$60,000-$74,999","South Asian (East Indian, Pakistani)"
4601,70+,Manitoba,Male,French,English,Adult Sharing Accommodation,Earned Doctorate,Other,"$25,000-$34,999","$35,000-$39,999",White
4602,40-44,British Columbia,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$25,000-$34,999",Korean
4603,35-39,Ontario,Male,English,French,Adult Sharing Accommodation,"""Bachelors Degrees""",Unskilled,"Under $25,000","Under $25,000",White
4604,70+,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Unskilled,"$150,000-$199,999","Under $25,000",Aboriginal
4605,55-59,Quebec,Female,English,English,Couple With Children Living at Home,None,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$25,000-$34,999",White
4606,19 Years,Ontario,Female,Indian-Hindi,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$40,000-$49,999",White
4607,50-54,Saskatchewan,Male,English,French,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","$50,000-$59,999",Not Stated
4608,22-24,Ontario,Female,English,English,Other,High School Graduation Certificate,Other,"$60,000-$74,999","$75,000-$99,999",White
4609,40-44,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"Under $25,000","$100,000-$124,999",White
4610,70+,Ontario,Female,English,Ukrainian,Couple - No Children Living At Home,Trade Certificate/Diploma,Clerical/Secretarial,"$75,000-$99,999",None,White
4611,45-49,Alberta,Female,French,Indian-Other,Couple With Children Living at Home,High School Graduation Certificate,Other,"$25,000-$34,999","Under $25,000",White
4612,40-44,Quebec,Male,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"Under $25,000","$40,000-$49,999",White
4613,40-44,Alberta,Female,French,English,Couple With Children Living at Home,"""Masters Degrees""",Unskilled,"$50,000-$59,999","$40,000-$49,999",White
4614,70+,Alberta,Male,English,French,Empty Nesters,High School Graduation Certificate,Other,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
4615,65-69,Quebec,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Clerical/Secretarial,"$75,000-$99,999","$200,000 Or Over",White
4616,35-39,British Columbia,Male,Other,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"Under $25,000","$60,000-$74,999",White
4617,55-59,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","$60,000-$74,999",White
4618,35-39,Quebec,Male,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"$100,000-$124,999","$25,000-$34,999",White
4619,30-34,Alberta,Male,French,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$60,000-$74,999",White
4620,45-49,Alberta,Female,French,English,Empty Nesters,"""Bachelors Degrees""",Senior Managers/Owners,"$100,000-$124,999","$40,000-$49,999",White
4621,15-17,Quebec,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$125,000-$149,999","Under $25,000",White
4622,50-54,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$50,000-$59,999","$60,000-$74,999",White
4623,22-24,Ontario,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$40,000-$49,999","$40,000-$49,999",White
4624,45-49,Ontario,Female,French,French,Adult Sharing Accommodation,Elementary School Graduation Cert,Clerical/Secretarial,"$50,000-$59,999","$75,000-$99,999","South Asian (East Indian, Pakistani)"
4625,50-54,Saskatchewan,Female,French,English,Adult Living Alone,Trade Certificate/Diploma,Other,"$200,000 Or Over","Under $25,000","South Asian (East Indian, Pakistani)"
4626,35-39,Saskatchewan,Male,English,English,Other,"""Bachelors Degrees""",Professionals,"$125,000-$149,999","Under $25,000",Filipino
4627,35-39,Ontario,Female,English,French,Empty Nesters,"""Bachelors Degrees""",Other,"$40,000-$49,999","Under $25,000",White
4628,40-44,Ontario,Female,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$200,000 Or Over","Under $25,000",White
4629,70+,Alberta,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$125,000-$149,999","Under $25,000",Aboriginal
4630,40-44,Alberta,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999","$60,000-$74,999",White
4631,65-69,Alberta,Female,English,Chinese - Mandarin,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"$125,000-$149,999","Under $25,000",White
4632,25-29,Ontario,Male,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$25,000-$34,999",None,White
4633,22-24,British Columbia,Male,French,French,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
4634,70+,Saskatchewan,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000",None,Not Stated
4635,55-59,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$50,000-$59,999","$60,000-$74,999",White
4636,60-64,Nova Scotia,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Skilled,"$60,000-$74,999","$25,000-$34,999",White
4637,40-44,Quebec,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
4638,70+,Nova Scotia,Female,Spanish,Other,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","$50,000-$59,999",White
4639,40-44,Ontario,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$60,000-$74,999","$75,000-$99,999",Not Stated
4640,40-44,Alberta,Female,Indian-Punjabi,English,Couple - No Children Living At Home,High School Graduation Certificate,Professionals,"$60,000-$74,999","$25,000-$34,999",White
4641,60-64,British Columbia,Female,English,English,Couple With Children Living at Home,"""Masters Degrees""",Senior Managers/Owners,"$125,000-$149,999","$75,000-$99,999",White
4642,70+,Saskatchewan,Female,French,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$75,000-$99,999","Under $25,000",White
4643,25-29,Quebec,Female,Vietnamese,French,Empty Nesters,Elementary School Graduation Cert,Professionals,"$100,000-$124,999","$25,000-$34,999",White
4644,18 Years,Ontario,Male,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"Under $25,000","$60,000-$74,999",White
4645,20-21,Ontario,Male,English,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
4646,55-59,Saskatchewan,Male,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","$50,000-$59,999",White
4647,70+,Ontario,Male,Polish,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$60,000-$74,999","$25,000-$34,999",White
4648,65-69,Quebec,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Professionals,"$40,000-$49,999","Under $25,000",Black
4649,50-54,Ontario,Female,English,English,Other,High School Graduation Certificate,Skilled,"$50,000-$59,999","$50,000-$59,999",Black
4650,50-54,Manitoba,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",White
4651,19 Years,Ontario,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"Under $25,000","$60,000-$74,999",Filipino
4652,45-49,British Columbia,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$25,000-$34,999",White
4653,30-34,Ontario,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"Under $25,000","$60,000-$74,999",White
4654,25-29,Ontario,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$75,000-$99,999",Aboriginal
4655,30-34,Manitoba,Female,English,French,Adult With Children Living At Home,"""Masters Degrees""",Clerical/Secretarial,"$25,000-$34,999",None,White
4656,60-64,Newfoundland and Labrador,Male,Arabic,English,Other,High School Graduation Certificate,Other,"$75,000-$99,999","$100,000-$124,999","East/South Asian (Cambodian, Indonesian)"
4657,50-54,Ontario,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Senior Managers/Owners,"$200,000 Or Over","Under $25,000",White
4658,55-59,Ontario,Male,Indian-Hindi,French,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$50,000-$59,999","Under $25,000",White
4659,50-54,Quebec,Male,English,English,Couple With Children Living at Home,None,Other,"$75,000-$99,999","$75,000-$99,999","South Asian (East Indian, Pakistani)"
4660,30-34,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$25,000-$34,999",White
4661,45-49,Alberta,Female,English,French,Adult Living Alone,High School Graduation Certificate,Other,"$60,000-$74,999","$40,000-$49,999",White
4662,15-17,Quebec,Male,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$200,000 Or Over","$40,000-$49,999",White
4663,70+,Ontario,Male,Indian-Other,French,Empty Nesters,Elementary School Graduation Cert,Other,"$125,000-$149,999","$50,000-$59,999",Not Stated
4664,60-64,Ontario,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$150,000-$199,999",None,White
4665,25-29,Ontario,Male,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Unskilled,"$60,000-$74,999","$75,000-$99,999",White
4666,70+,British Columbia,Male,Tagalog,French,Couple With Children Living at Home,Trade Certificate/Diploma,Unskilled,"$150,000-$199,999","Under $25,000",White
4667,35-39,Ontario,Female,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$50,000-$59,999",White
4668,15-17,Ontario,Female,English,English,Other,Trade Certificate/Diploma,Other Managers,"$25,000-$34,999","Under $25,000",White
4669,30-34,Ontario,Female,English,Other,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","Under $25,000",White
4670,50-54,Ontario,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Senior Managers/Owners,"$75,000-$99,999","$40,000-$49,999",White
4671,25-29,Quebec,Male,French,English,Adult Living Alone,"""Bachelors Degrees""",Unskilled,"$100,000-$124,999","$125,000-$149,999",White
4672,65-69,New Brunswick,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$150,000-$199,999","Under $25,000",White
4673,30-34,Quebec,Female,Other,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$150,000-$199,999","$40,000-$49,999",Other
4674,70+,Ontario,Male,Spanish,French,Adult Sharing Accommodation,Elementary School Graduation Cert,Clerical/Secretarial,"$125,000-$149,999","$100,000-$124,999",White
4675,25-29,New Brunswick,Male,Chinese-Cantonese,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Senior Managers/Owners,"$60,000-$74,999","$75,000-$99,999",White
4676,65-69,Ontario,Male,French,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Unskilled,"$50,000-$59,999","Under $25,000",White
4677,22-24,Ontario,Male,Spanish,French,Couple - No Children Living At Home,None,Unskilled,"Under $25,000","$25,000-$34,999",White
4678,60-64,Ontario,Female,French,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","$40,000-$49,999",Aboriginal
4679,35-39,Ontario,Female,French,English,Adult Sharing Accommodation,None,Senior Managers/Owners,"$50,000-$59,999","$40,000-$49,999",White
4680,60-64,Ontario,Male,English,English,Other,High School Graduation Certificate,Skilled,"$150,000-$199,999","$40,000-$49,999",Other
4681,40-44,Ontario,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$60,000-$74,999","$25,000-$34,999",Other
4682,22-24,Alberta,Male,Other,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","Under $25,000",White
